epoch,train_loss,val_psnr,val_ssim,val_lpips,val_sigma,seconds
1,-0.022765494883060455,31.04117202758789,0.8593752980232239,0.22458335757255554,0.6670722961425781,105.83442616462708
2,-0.05282807722687721,31.06586265563965,0.8485342860221863,0.21163837611675262,0.6639699935913086,83.57056498527527
epoch,train_loss,val_psnr,val_ssim,val_lpips,val_sigma,seconds
1,-0.10251041783226861,26.15406436920166,0.7689981877803802,0.2901397705078125,0.6200595974922181,98.75652146339417
2,-0.12046527663866678,26.12173252105713,0.7699035942554474,0.29128238558769226,0.6078019738197327,78.54321908950806
3,-0.14175153540240393,26.09166431427002,0.7681589424610138,0.28949435651302335,0.5941368520259858,69.81954312324524
4,-0.16595165166589948,26.022837257385255,0.7666433811187744,0.2921684831380844,0.5791209101676941,67.26403188705444
5,-0.1866973535882102,26.07319030761719,0.765407133102417,0.29192636013031004,0.5636881172657013,66.26662564277649
6,-0.22479685842990876,26.02702045440674,0.7650853753089905,0.2841585636138916,0.5454925239086151,75.0130524635315
7,-0.2552307867341571,25.777259254455565,0.7650687575340271,0.28433772921562195,0.5253558337688446,71.59014439582825
8,-0.2976978447702196,26.075462341308594,0.7676384329795838,0.2854326874017715,0.5026615470647812,69.83288097381592
9,-0.34207655323876274,25.777645111083984,0.7666986525058747,0.28431888222694396,0.47508340775966645,66.35971570014954
10,-0.3950946284665002,25.785853004455568,0.7652163922786712,0.28379088044166567,0.45192376971244813,65.17307996749878
11,-0.45409262577692666,25.970406341552735,0.7666963279247284,0.2852334797382355,0.42551393508911134,65.69682240486145
12,-0.5132622215482924,25.962289237976073,0.7710822463035584,0.2850682884454727,0.40028035044670107,64.97946071624756
13,-0.5787949562072754,25.80665454864502,0.7680561423301697,0.2817685931921005,0.3746396601200104,65.5017454624176
14,-0.6542262229654524,25.953376960754394,0.7657622933387757,0.2844926506280899,0.34699687063694,64.74184536933899
15,-0.723590620358785,25.8726526260376,0.7682293891906739,0.2826001852750778,0.3225996047258377,64.92241287231445
16,-0.798421620660358,25.64652290344238,0.7655763745307922,0.28123427033424375,0.29740406572818756,65.5051953792572
17,-0.8732007881005605,25.942373847961427,0.7708757758140564,0.2853909760713577,0.2764078229665756,64.76798295974731
18,-0.9546510464615292,25.822302436828615,0.7666794240474701,0.2844621121883392,0.2562789872288704,65.19756388664246
19,-1.0321004761589898,25.741512870788576,0.7657655656337738,0.2840934991836548,0.2325754925608635,64.80067801475525
20,-1.1077740960650975,25.65450668334961,0.7645227015018463,0.28524329960346223,0.21406802535057068,65.05383110046387
epoch,train_loss,val_psnr,val_ssim,val_lpips,val_sigma,seconds
1,0.32405150632063545,26.15406436920166,0.7689981877803802,0.2901404589414597,0.5682937324047088,95.85941076278687
2,0.25097691631979413,26.12173252105713,0.7699035942554474,0.29128255844116213,0.4872200399637222,60.56445336341858
3,0.17313108833299742,26.09166431427002,0.7681589424610138,0.2894939064979553,0.3900241494178772,57.87065410614014
4,0.11470563916696443,26.022837257385255,0.7666433811187744,0.2921687662601471,0.3109041631221771,58.994282484054565
5,0.07882076576352119,26.07319030761719,0.765407133102417,0.2919261962175369,0.25507119596004485,57.764495611190796
6,-1.06502269771364,26.10643768310547,0.7667365074157715,0.2912020027637482,0.21964610368013382,62.391732931137085
7,-1.1829642163382637,25.853327178955077,0.7644041180610657,0.2924383580684662,0.19512843191623688,60.70165824890137
8,-1.2813587056265936,26.145943450927735,0.7683496177196503,0.2930113345384598,0.1757655456662178,61.641570806503296
9,-1.347914735476176,25.937939453125,0.7668953120708466,0.2936444699764252,0.15886804908514024,60.98857235908508
10,-1.4015043536822,25.95282115936279,0.7654800772666931,0.2906907647848129,0.15103819817304612,62.07815384864807
11,-1.440008290608724,26.133794212341307,0.767006105184555,0.2912241131067276,0.1434369169175625,61.32251477241516
12,-1.4551917208565606,26.236310958862305,0.7707174301147461,0.2926137983798981,0.1386051021516323,61.226863384246826
13,-1.4732686519622802,26.012007331848146,0.769605940580368,0.28968998193740847,0.1336793065071106,61.606772899627686
14,-1.4871413575278387,26.153016090393066,0.7676642596721649,0.29190427958965304,0.12847903966903687,63.63712978363037
15,-1.490945820013682,26.065526008605957,0.7694000422954559,0.2915187656879425,0.12639103084802628,64.10688471794128
16,-1.4932138125101726,25.890911483764647,0.7676747679710388,0.2894555002450943,0.12304614186286926,64.55108141899109
17,-1.4885750783814324,26.197814178466796,0.7709106028079986,0.29343602657318113,0.12318893149495125,61.44150400161743
18,-1.5061252554257711,26.037745857238768,0.7672867715358734,0.291272309422493,0.12119752392172814,63.55566215515137
19,-1.5071282148361207,25.956153297424315,0.7668521463871002,0.2916875213384628,0.11735929399728776,65.25343251228333
20,-1.505279270807902,25.937435150146484,0.7661758065223694,0.29318642914295195,0.11652268171310425,62.440572023391724
