epoch,train_loss,val_psnr,val_ssim,val_lpips,seconds
1,0.5453024125761456,23.589033317565917,0.6650979518890381,0.41056097745895387,73.44704794883728
2,0.466129653983646,24.679346084594727,0.6758275151252746,0.39997017085552217,74.8527364730835
3,0.45152736206849414,24.915615463256835,0.6833103477954865,0.38186292052268983,75.7582266330719
4,0.4430616007910834,24.9070068359375,0.6823375046253204,0.37576344013214114,79.15691828727722
5,0.434147098991606,24.924216651916502,0.687639594078064,0.3727268785238266,81.23039245605469
6,0.4281847490204705,25.119848442077636,0.6988350510597229,0.3681889772415161,79.1585431098938
7,0.42519704931312136,25.211075210571288,0.698340094089508,0.3669366180896759,77.51168322563171
8,0.4170528120464749,25.072779846191406,0.6934770584106446,0.3611934453248978,78.20479440689087
9,0.4146473546822866,25.37419738769531,0.7066223859786988,0.35617061853408816,75.3394787311554
10,0.4117378986544079,25.31853904724121,0.7107524275779724,0.35638357102870943,74.90761637687683
11,0.40967708461814456,25.407297134399414,0.715663480758667,0.3513279348611832,78.90805268287659
12,0.4098215397861269,25.20558032989502,0.7115257441997528,0.34648439586162566,77.99060249328613
13,0.40614738133218553,25.323530387878417,0.7142483055591583,0.3551010459661484,80.32691407203674
14,0.4014059457514021,25.507986640930177,0.71545889377594,0.34420980513095856,79.68516755104065
15,0.4038951211505466,25.4845329284668,0.7150048673152923,0.3457498669624329,80.79713225364685
16,0.40093512932459513,25.62570152282715,0.7141569137573243,0.3427193224430084,83.69002771377563
17,0.3983433885706796,25.61091537475586,0.7263972818851471,0.3436521589756012,76.58433413505554
18,0.3966822647386127,25.50213451385498,0.7159155309200287,0.3388991117477417,73.420175075531
19,0.3949418574571609,25.433081436157227,0.7249244272708892,0.33340353667736056,72.21282935142517
20,0.3936446203125848,25.41180419921875,0.7192487001419068,0.34310040473937986,74.03796887397766
21,0.3916643500328064,25.62850704193115,0.7212645888328553,0.3398952305316925,73.68027210235596
22,0.3903054465850194,25.67251091003418,0.724281620979309,0.33668885231018064,73.59473609924316
23,0.386953623758422,25.41466178894043,0.7146961927413941,0.3459383726119995,71.65761637687683
24,0.3876478867398368,25.558878898620605,0.7195752441883088,0.3388820856809616,71.7945032119751
25,0.38512101935015786,25.779666137695312,0.7329704940319062,0.3258010894060135,72.12045192718506
26,0.3809998234113057,25.596081924438476,0.7253276824951171,0.32862802445888517,83.01472854614258
27,0.3868136829800076,25.577544975280762,0.728328001499176,0.3272692859172821,98.8204140663147
28,0.3834531257549922,25.72369384765625,0.7311353206634521,0.33678098022937775,82.07366728782654
29,0.3839045570956336,25.47779369354248,0.7169417977333069,0.3333750903606415,71.93366265296936
30,0.38418610625796845,25.49973945617676,0.7268721103668213,0.32878013253211974,69.35191106796265
31,0.3807077901230918,25.72858600616455,0.7300357639789581,0.32908305823802947,69.55949306488037
32,0.3824188070164786,25.770479202270508,0.7293430984020233,0.32558917105197904,69.83290553092957
33,0.38124705652395885,25.618660736083985,0.7316804587841034,0.32891970574855806,68.68599224090576
34,0.3806392643186781,25.752548599243163,0.7351445376873016,0.3233595758676529,67.40328097343445
35,0.37832394076718223,25.62123031616211,0.7274591088294983,0.3342026829719543,66.54807829856873
36,0.3792727443906996,25.583876419067384,0.7325880050659179,0.328609699010849,67.1734230518341
37,0.37595414254400467,25.67677993774414,0.7361944854259491,0.3256745100021362,67.16596412658691
38,0.3750481638643477,25.745714378356933,0.731659322977066,0.3231027781963348,67.58864068984985
39,0.3782835069629881,25.814612770080565,0.7341986119747161,0.3287272274494171,67.40293455123901
40,0.376494958003362,25.681537055969237,0.7382797956466675,0.3252890735864639,66.86841988563538
41,0.3754012525081635,25.795635223388672,0.7355938613414764,0.3227108746767044,66.76189088821411
42,0.37665622499254015,25.686303520202635,0.7362915277481079,0.3223454266786575,66.7776882648468
43,0.3736724280648761,25.666485404968263,0.733594024181366,0.3241779446601868,66.76533603668213
44,0.37374406887425315,25.604513549804686,0.7351260304450988,0.32213168442249296,66.55627799034119
45,0.3727527843581306,25.67716178894043,0.7366506934165955,0.32211765050888064,67.02041530609131
46,0.37109963099161786,25.733856201171875,0.7363763630390168,0.3148851335048676,72.70665788650513
47,0.3727952394220564,25.67157402038574,0.7322035074234009,0.32602070868015287,68.98229837417603
48,0.37400994896888734,25.933359718322755,0.7391573488712311,0.32258476614952086,68.33750915527344
49,0.37374200854036543,25.711956787109376,0.734900313615799,0.3199442088603973,66.96046161651611
50,0.3724950200981564,25.629462051391602,0.7413315296173095,0.3194069564342499,66.56934070587158
51,0.37227786150243547,25.816457748413086,0.7374279856681824,0.31694608330726626,67.97926783561707
52,0.3726779106590483,25.803145980834962,0.7409956395626068,0.31864054799079894,67.15448641777039
53,0.36899864110681746,25.960519981384277,0.7424110233783722,0.31148821115493774,66.76536440849304
54,0.3713010827700297,25.743607330322266,0.7397605359554291,0.314569303393364,66.95634055137634
55,0.3693426171938578,25.723698616027832,0.7374690711498261,0.3193663090467453,66.94243383407593
56,0.36778867112265695,25.758086013793946,0.7428309142589569,0.3156155407428741,67.19780373573303
57,0.3686907513274087,25.885463523864747,0.7352211713790894,0.3226850777864456,66.74919509887695
58,0.36704844666851894,25.818514823913574,0.7454841494560241,0.3147650480270386,66.75500702857971
59,0.3671144707335366,26.047323608398436,0.7427743434906006,0.314390966296196,66.7628448009491
60,0.3669933968120151,25.861683654785157,0.740000206232071,0.31693158745765687,66.73038053512573
61,0.3661808573537403,25.74227695465088,0.7411063313484192,0.3087671875953674,66.977046251297
62,0.3666619559129079,25.894089698791504,0.7415711402893066,0.3154870182275772,66.97263836860657
63,0.3675121284193463,25.932083702087404,0.738714849948883,0.31745772063732147,67.15497636795044
64,0.36853329671753776,25.81100196838379,0.7417489230632782,0.3176825761795044,67.16167569160461
65,0.3667594896422492,25.8718843460083,0.7435427367687225,0.3125641196966171,67.16695284843445
66,0.3661234928501977,25.76794776916504,0.7428185522556305,0.313784322142601,66.54304146766663
67,0.3644480562872357,26.016858863830567,0.7447908878326416,0.32117868959903717,66.57773065567017
68,0.3641587724288305,25.928612518310548,0.7399537265300751,0.3146682530641556,66.77730822563171
69,0.3655613193909327,25.941590881347658,0.7417190372943878,0.3124877274036407,67.154052734375
70,0.3651597864098019,25.793508529663086,0.7447456061840058,0.31272212862968446,67.18120837211609
71,0.3655281285444895,25.83976821899414,0.7399655997753143,0.31332158148288725,66.94023656845093
72,0.3636307497819265,25.767590141296388,0.7410251677036286,0.31402482390403746,67.16301465034485
73,0.362427939971288,25.983946228027342,0.7501194059848786,0.3112268209457397,67.1626410484314
